pk,addrnm
"1","인천광역시 서해구 가남로 55"
"2","인천광역시 서해구 담지로 60"
"3","인천광역시 서해구 담지로86번길 16-14"
"4","인천광역시 서해구 담지로86번길 16-14"
"5","인천광역시 제물포구 방축로 327"
"6","인천광역시 서해구 방축로 327"
"7","인천광역시 서해구 봉오대로 270"
"8","인천광역시 서해구 봉오대로283번길 6"
"9","인천광역시 서해구 봉오재1로 49"
"10","인천광역시 서해구 봉오재2로 13"
"11","인천광역시 서해구 봉오재3로 11"
"12","인천광역시 서해구 봉오재3로 115"
"13","인천광역시 서해구 봉오재3로 120"
"14","인천광역시 서해구 봉오재3로 124"
"15","인천광역시 서해구 봉오재3로 124"
"16","인천광역시 서해구 봉오재3로 66"
"17","인천광역시 서해구 봉오재3로110번길 7"
"18","인천광역시 서해구 봉오재3로94번길 11"
"19","인천광역시 서해구 비즈니스로 165"
"20","인천광역시 서해구 여우재로 136"
"21","인천광역시 서해구 여우재로112번길 13"
"22","인천광역시 서해구 여우재로112번길 13"
"23","인천광역시 제물포구 장고개로 125"
"24","인천광역시 제물포구 장고개로 125"
"25","인천광역시 서해구 장고개로 125"
"26","인천광역시 제물포구 장고개로 125"
"27","인천광역시 서해구 장고개로 125"
"28","인천광역시 제물포구 장고개로 125"
"29","인천광역시 서해구 장고개로 125"
"30","인천광역시 서해구 장고개로 125"
"31","인천광역시 서해구 장고개로 138 (가좌동)"
"32","인천광역시 제물포구 장고개로 138 (가좌동)"
"33","인천광역시 서해구 장고개로287번길 24"
"34","인천광역시 서해구 장고개로287번길 24"
"35","인천광역시 서해구 장고개로309번길 29"
"36","인천광역시 서해구 장고개로337번길 16"
"37","인천광역시 제물포구 중봉대로 211"
"38","인천광역시 서해구 중봉대로 211"
"39","인천광역시 제물포구 중봉대로 364"
"40","인천광역시 서해구 중봉대로 364"
"41","인천광역시 제물포구 중봉대로 490"
"42","인천광역시 서해구 중봉대로 490"
"43","인천광역시 제물포구 중봉대로 490"
"44","인천광역시 서해구 중봉대로 490"
"45","인천광역시 제물포구 중봉대로 490"
"46","인천광역시 서해구 중봉대로 490"
"47","인천광역시 제물포구 중봉대로 490"
"48","인천광역시 서해구 중봉대로 490"
"49","인천광역시 제물포구 중봉대로 490"
"50","인천광역시 제물포구 중봉대로 490"
"51","인천광역시 서해구 중봉대로 490"
"52","인천광역시 서해구 중봉대로 490"
"53","인천광역시 제물포구 중봉대로 587"
"54","인천광역시 제물포구 중봉대로 587"
"55","인천광역시 서해구 중봉대로 587"
"56","인천광역시 서해구 중봉대로 587"
"57","인천광역시 제물포구 중봉대로 588"
"58","인천광역시 서해구 중봉대로 588"
"59","인천광역시 서해구 중봉대로 594"
"60","인천광역시 제물포구 중봉대로 594"
"61","인천광역시 제물포구 중봉대로 602"
"62","인천광역시 서해구 중봉대로 602"
"63","인천광역시 서해구 중봉대로 610"
"64","인천광역시 제물포구 중봉대로 610"
"65","인천광역시 서해구 중봉대로306번길 33"
"66","인천광역시 서해구 중봉대로393번길 16"
"67","인천광역시 서해구 중봉대로405번길 411"
"68","인천광역시 서해구 중봉대로586번길 22"
"69","인천광역시 서해구 중봉대로586번길 22"
"70","인천광역시 서해구 중봉대로586번길 22"
"71","인천광역시 서해구 중봉대로586번길 22"
